oid,osm_id,highway,access,start_date,active_years,abandoned_date,abandoned,surface
41762,594256395,residential,,,,,,
41763,594256400,residential,,,,,,
41764,594256403,residential,,,,,,
41765,594256407,unclassified,,,,,,
41766,594256410,residential,,,,,,
41767,594256414,residential,,,,,,
41768,594256417,residential,,,,,,
41769,594256421,residential,,,,,,
41770,594256423,residential,,,,,,
41771,594256425,residential,,,,,,
41772,594256429,residential,,,,,,
41773,594256432,residential,,,,,,
41774,594256435,residential,,,,,,
41775,594256437,residential,,,,,,
41776,594256441,residential,,,,,,
41777,594256444,residential,,,,,,
41778,594256448,residential,,,,,,
41779,594256451,residential,,,,,,
41780,594256454,residential,,,,,,
41781,594256457,residential,,,,,,
41782,594256463,residential,,,,,,
41783,594256466,residential,,,,,,
41784,594256472,residential,,,,,,
41785,594256476,residential,,,,,,
41786,594256480,unclassified,,,,,,
41787,594256483,unclassified,,,,,,
41788,594256485,residential,,,,,,
41789,594256490,residential,,,,,,
41790,594256491,residential,,,,,,
41791,594419435,residential,,,,,,
41792,594419436,residential,,,,,,
41793,594419437,residential,,,,,,
41794,594419438,residential,,,,,,
41795,594419439,residential,,,,,,
41796,594419440,residential,,,,,,
41797,594419441,residential,,,,,,
41798,594419442,residential,,,,,,
41799,594419443,residential,,,,,,
41800,594419450,residential,,,,,,
41801,594419451,residential,,,,,,
41802,594479895,tertiary,,,,,,
41803,594479896,tertiary,,,,,,
41804,594479903,service,,,,,,unpaved
41805,594479906,service,,,,,,unpaved
41806,594479908,unclassified,,,,,,
41807,594479911,service,,,,,,
41808,594479913,residential,,,,,,
41809,594479915,unclassified,,,,,,
41810,594479916,residential,,,,,,
41811,594479917,residential,,,,,,
41812,594479919,residential,,,,,,
41813,594479924,unclassified,,,,,,
41814,594479926,unclassified,,,,,,
41815,594582224,residential,,,,,,
41816,594582227,trunk,,,,,,
41817,594582230,unclassified,,,,,,
41818,594582231,trunk,,,,,,
41819,594582232,trunk,,,,,,
41820,594582234,trunk,,,,,,
41821,594633875,tertiary,,before 2000,,,,unpaved
41822,594633876,tertiary,,before 2000,,,,unpaved
41823,594633878,residential,,,,,,
41824,594633879,residential,,,,,,
41825,594633880,residential,,,,,,
41826,594633881,residential,,,,,,
41827,594633885,tertiary,,before 2000,,,,unpaved
41828,594633887,tertiary,,before 2000,,,,
41829,594633888,unclassified,,,,,,
41830,594633890,tertiary,,,,,,
41831,594633891,track,forestry,before 2000,,,,
41832,594633894,tertiary,,,,,,
41833,594633896,tertiary,,,,,,
41834,594633898,tertiary,,,,,,
41835,594633937,residential,,,,,,
41836,594633939,tertiary,,,,,,
41837,594676523,tertiary,,,,,,unpaved
41838,594676526,residential,,,,,,
41839,594676530,service,,,,,,
41840,594699634,track,,,,,,
41841,594722084,residential,,,,,,
41842,594722085,residential,,,,,,
41843,594722086,residential,,,,,,
41844,594722087,residential,,,,,,
41845,594722088,residential,,,,,,
41846,594722089,residential,,,,,,
41847,594722097,unclassified,,,,,,
41848,594722098,unclassified,,,,,,
41849,594722100,unclassified,,,,,,
41850,594722102,trunk,,,,,,
41851,594722103,trunk,,,,,,
41852,595160908,residential,,,,,,
41853,595160909,residential,,,,,,
41854,595160910,construction,,,,,,
41855,595160911,construction,,,,,,
41856,595160912,construction,,,,,,
41857,595160913,construction,,,,,,
41858,595160914,construction,,,,,,
41859,595160915,construction,,,,,,
41860,595160916,construction,,,,,,
41861,595160917,construction,,,,,,
41862,595160918,construction,,,,,,
41863,595160919,construction,,,,,,
41864,595167762,trunk,,,,,,
41865,595167763,trunk,,,,,,
41866,595167764,trunk,,,,,,
41867,595167765,trunk,,,,,,
41868,595167766,trunk,,,,,,
41869,595167767,trunk_link,,,,,,
41870,595167768,trunk_link,,,,,,
41871,595172179,service,,,,,,
